source,alpha,n_calibration,n_test,order_statistic_rank,gap_lower_bound,empirical_coverage,valid
ctu13_edges,0.05,28,28,1,8.356764073527351e-06,1.0,True
ctu13_edges,0.1,28,28,2,3.0811065327336545e-05,0.8928571428571429,False
ctu13_edges,0.2,28,28,5,7.742085350279702e-05,0.75,False
official_prefix_edges,0.05,50,50,2,0.0,1.0,True
official_prefix_edges,0.1,50,50,5,0.0,1.0,True
official_prefix_edges,0.2,50,50,10,0.0,1.0,True
hotspot_zipf,0.05,50,50,2,3.324482108588134e-05,0.84,False
hotspot_zipf,0.1,50,50,5,4.4079887626703126e-05,0.82,False
hotspot_zipf,0.2,50,50,10,7.999994864043621e-05,0.72,False
community_bursty,0.05,50,50,2,3.6692721485301065e-08,0.96,True
community_bursty,0.1,50,50,5,1.1043990136207464e-07,0.94,True
community_bursty,0.2,50,50,10,6.39861885781043e-07,0.78,False
scanner_fanout,0.05,50,50,2,4.4012773034888e-08,0.94,False
scanner_fanout,0.1,50,50,5,1.3890813345321106e-07,0.84,False
scanner_fanout,0.2,50,50,10,4.3515795270119015e-07,0.64,False
uniform_sparse,0.05,50,50,2,5.284162254288437e-08,0.96,True
uniform_sparse,0.1,50,50,5,8.35288120019754e-08,0.92,True
uniform_sparse,0.2,50,50,10,1.3647413378667633e-07,0.92,True
