source,decoder,index,recall
hotspot_zipf,spacesaving,0.0072264614775053625,0.7
hotspot_zipf,spacesaving,0.014049678969849164,1.0
hotspot_zipf,spacesaving,0.04978837909454003,1.0
hotspot_zipf,spacesaving,0.13852805107938518,1.0
hotspot_zipf,spacesaving,0.2502313280052265,1.0
community_bursty,spacesaving,1.3674466410183519e-05,0.0
community_bursty,spacesaving,2.6585883526135717e-05,0.0
community_bursty,spacesaving,9.421340163025394e-05,0.15
community_bursty,spacesaving,0.0002621334365719428,0.65
community_bursty,spacesaving,0.0004735069715979879,1.0
scanner_fanout,spacesaving,4.021854260454579e-07,0.0
scanner_fanout,spacesaving,7.819284915418002e-07,0.0
scanner_fanout,spacesaving,2.770949588617037e-06,0.05
scanner_fanout,spacesaving,7.709715663196538e-06,0.1
scanner_fanout,spacesaving,1.3926510724090147e-05,0.95
uniform_sparse,spacesaving,2.376405493609467e-05,0.0
uniform_sparse,spacesaving,4.6202051157857534e-05,0.05
uniform_sparse,spacesaving,0.00016372795726715732,0.05
uniform_sparse,spacesaving,0.00045554635920885876,0.2
uniform_sparse,spacesaving,0.0008228800560216804,0.5
ctu13,spacesaving,0.007905218751735629,0.95
ctu13,spacesaving,0.05446483445069855,1.0
ctu13,spacesaving,0.1515395260104788,1.0
ctu13,spacesaving,0.2737347168564018,1.0
official,spacesaving,0.0,0.0
official,spacesaving,0.0,0.0
official,spacesaving,0.0,0.0
official,spacesaving,0.0,0.0
ctu13_edges,dyadic,0.010543255030731974,0.95
official_prefix_edges,dyadic,0.0,0.0
hotspot_zipf,dyadic,0.197210841239898,0.95
community_bursty,dyadic,0.0003731775271553738,0.4
scanner_fanout,dyadic,1.0975679653416194e-05,0.25
uniform_sparse,dyadic,0.0006485233858654998,0.15
hotspot_zipf,spacesaving,5.1531087271908795,1.0
ctu13_edges,spacesaving,8.0647566513837,1.0
