regime,n_edges,sketch_width,sketch_depth,candidate_capacity,seconds,sketch_bytes,topk_recall,median_relative_error,max_relative_error
hotspot_zipf,100000,512,5,512,0.6793960829999999,20480,1.0,0.04052359913003993,0.18176256909850713
hotspot_zipf,100000,2048,5,512,0.6339297500000001,81920,1.0,0.00304131383151467,0.016651377028893456
hotspot_zipf,100000,8192,5,512,0.665617584,327680,1.0,0.0,0.002013339874690565
hotspot_zipf,100000,32768,5,512,0.6836734580000003,1310720,1.0,0.0,0.0
community_bursty,100000,512,5,512,0.6523217080000001,20480,0.15,1.0,5.129244996967859
community_bursty,100000,2048,5,512,0.6497204580000004,81920,0.15,1.0,1.0
community_bursty,100000,8192,5,512,0.6267055829999997,327680,0.15,1.0,1.0
community_bursty,100000,32768,5,512,0.6064687910000002,1310720,0.15,1.0,1.0
scanner_fanout,100000,512,5,512,0.6117232079999999,20480,0.0,1.0,1.0
scanner_fanout,100000,2048,5,512,0.6056669589999997,81920,0.0,1.0,1.0
scanner_fanout,100000,8192,5,512,0.6061649579999999,327680,0.0,1.0,1.0
scanner_fanout,100000,32768,5,512,0.6013005420000006,1310720,0.0,1.0,1.0
uniform_sparse,100000,512,5,512,0.6054752919999995,20480,0.0,1.0,1.0
uniform_sparse,100000,2048,5,512,0.5964954579999997,81920,0.0,1.0,1.0
uniform_sparse,100000,8192,5,512,0.5935884159999993,327680,0.0,1.0,1.0
uniform_sparse,100000,32768,5,512,0.6105158330000009,1310720,0.0,1.0,1.0
